"","GEOID","BF_COUNT","PB_COUNT","STATE_NUM","STATE_TERR","STATE_CODE"
"474","01113031100",NA,NA,"01","Alabama","AL"
"475","01073011001",1,NA,"01","Alabama","AL"
"476","01113030200",NA,NA,"01","Alabama","AL"
"477","01113030300",NA,NA,"01","Alabama","AL"
"478","01113030500",NA,NA,"01","Alabama","AL"
"479","01113030600",NA,1,"01","Alabama","AL"
"480","01031011100",NA,NA,"01","Alabama","AL"
"481","01031011202",NA,NA,"01","Alabama","AL"
"482","01113030700",NA,NA,"01","Alabama","AL"
"483","01083020801",NA,1,"01","Alabama","AL"
"484","01083020500",NA,NA,"01","Alabama","AL"
"485","01083020300",NA,NA,"01","Alabama","AL"
"486","01083020802",NA,NA,"01","Alabama","AL"
"487","01083020401",NA,NA,"01","Alabama","AL"
"488","01083021100",NA,NA,"01","Alabama","AL"
"489","01073011109",NA,1,"01","Alabama","AL"
"490","01073014002",NA,NA,"01","Alabama","AL"
"491","01073014413",NA,NA,"01","Alabama","AL"
"492","01073011002",NA,NA,"01","Alabama","AL"
"493","01073012704",NA,NA,"01","Alabama","AL"
"494","01073012803",NA,NA,"01","Alabama","AL"
"495","01073011110",NA,NA,"01","Alabama","AL"
"496","01073011302",NA,1,"01","Alabama","AL"
"497","01035960400",NA,NA,"01","Alabama","AL"
"498","01035960600",NA,NA,"01","Alabama","AL"
"499","01035960300",NA,NA,"01","Alabama","AL"
"500","01035960500",NA,1,"01","Alabama","AL"
"501","01125010101",NA,NA,"01","Alabama","AL"
"502","01009050601",NA,NA,"01","Alabama","AL"
"503","01047956900",NA,NA,"01","Alabama","AL"
"504","01125010102",NA,NA,"01","Alabama","AL"
"505","01125010500",NA,NA,"01","Alabama","AL"
"506","01125012405",NA,NA,"01","Alabama","AL"
"507","01125010406",NA,NA,"01","Alabama","AL"
"508","01125010703",NA,NA,"01","Alabama","AL"
"509","01125010204",NA,NA,"01","Alabama","AL"
"510","01125010405",NA,NA,"01","Alabama","AL"
"511","01125010602",NA,NA,"01","Alabama","AL"
"512","01125010201",NA,NA,"01","Alabama","AL"
"513","01125012305",NA,NA,"01","Alabama","AL"
"514","01125010301",NA,NA,"01","Alabama","AL"
"515","01125012501",NA,NA,"01","Alabama","AL"
"516","01125010802",NA,NA,"01","Alabama","AL"
"517","01125012403",NA,NA,"01","Alabama","AL"
"518","01125010404",NA,NA,"01","Alabama","AL"
"519","01125012700",NA,NA,"01","Alabama","AL"
"520","01097007500",3,NA,"01","Alabama","AL"
"521","01089001301",NA,NA,"01","Alabama","AL"
