"GEOID","BF_COUNT","PB_COUNT","STATE_NUM","STATE_TERR","STATE_CODE"
"06001436500",1,NA,"06","California","CA"
"06001441200",1,NA,"06","California","CA"
"06001444602",1,NA,"06","California","CA"
"06001451404",1,NA,"06","California","CA"
"06005000200",1,NA,"06","California","CA"
"06005000401",2,1,"06","California","CA"
"06007000300",1,NA,"06","California","CA"
"06007000903",2,NA,"06","California","CA"
"06007001200",2,NA,"06","California","CA"
"06007001300",2,NA,"06","California","CA"
"06007001400",3,NA,"06","California","CA"
"06007002800",7,NA,"06","California","CA"
"06007003002",6,NA,"06","California","CA"
"06007003200",1,NA,"06","California","CA"
"06007003700",1,NA,"06","California","CA"
"06011000300",1,NA,"06","California","CA"
"06013302005",6,NA,"06","California","CA"
"06013302007",5,NA,"06","California","CA"
"06013302008",1,NA,"06","California","CA"
"06013303102",2,NA,"06","California","CA"
"06013306002",2,NA,"06","California","CA"
"06013309000",8,NA,"06","California","CA"
"06013311000",1,NA,"06","California","CA"
"06013313101",1,NA,"06","California","CA"
"06013358000",1,NA,"06","California","CA"
"06013365002",1,NA,"06","California","CA"
"06013366001",1,NA,"06","California","CA"
"06013366002",3,NA,"06","California","CA"
"06013367100",1,NA,"06","California","CA"
"06013368001",2,NA,"06","California","CA"
"06013368002",3,NA,"06","California","CA"
"06013369001",4,NA,"06","California","CA"
"06013372000",2,NA,"06","California","CA"
"06013373000",2,NA,"06","California","CA"
"06013374000",5,NA,"06","California","CA"
"06013375000",2,NA,"06","California","CA"
"06013376000",4,NA,"06","California","CA"
"06013377000",1,NA,"06","California","CA"
"06013378000",2,NA,"06","California","CA"
"06013379000",4,NA,"06","California","CA"
"06013380000",1,NA,"06","California","CA"
"06013381000",2,NA,"06","California","CA"
"06013386000",1,NA,"06","California","CA"
"06015000102",4,1,"06","California","CA"
"06015000105",1,NA,"06","California","CA"
"06015000202",3,NA,"06","California","CA"
"06015000203",12,1,"06","California","CA"
"06019000100",2,3,"06","California","CA"
"06019000300",2,NA,"06","California","CA"
"06019000400",1,1,"06","California","CA"
"06019000600",2,NA,"06","California","CA"
"06019000902",6,NA,"06","California","CA"
"06019001000",1,NA,"06","California","CA"
"06019002000",1,NA,"06","California","CA"
"06019002300",1,NA,"06","California","CA"
"06019004211",1,NA,"06","California","CA"
"06019006402",42,NA,"06","California","CA"
"06019007201",1,NA,"06","California","CA"
"06019008302",1,2,"06","California","CA"
"06019008401",26,NA,"06","California","CA"
"06023000100",1,NA,"06","California","CA"
"06023000500",2,1,"06","California","CA"
"06023000700",2,NA,"06","California","CA"
"06023000800",1,NA,"06","California","CA"
"06023001000",4,NA,"06","California","CA"
"06023001101",1,NA,"06","California","CA"
"06023001200",3,NA,"06","California","CA"
"06023001300",8,NA,"06","California","CA"
"06023010102",22,NA,"06","California","CA"
"06023010200",8,NA,"06","California","CA"
"06023010300",8,NA,"06","California","CA"
"06023010400",1,NA,"06","California","CA"
"06023010501",2,NA,"06","California","CA"
"06023010502",2,NA,"06","California","CA"
"06023010700",4,NA,"06","California","CA"
"06023010902",2,NA,"06","California","CA"
"06023011100",5,1,"06","California","CA"
"06023011500",1,1,"06","California","CA"
"06023940000",3,NA,"06","California","CA"
"06025010400",1,NA,"06","California","CA"
"06025010600",1,NA,"06","California","CA"
"06025011300",1,1,"06","California","CA"
"06027000100",1,NA,"06","California","CA"
"06027000400",1,NA,"06","California","CA"
"06027000500",1,1,"06","California","CA"
"06027000800",1,NA,"06","California","CA"
"06029001300",2,NA,"06","California","CA"
"06029001400",1,NA,"06","California","CA"
"06029001600",1,2,"06","California","CA"
"06029002301",1,NA,"06","California","CA"
"06029002500",1,NA,"06","California","CA"
"06031001500",1,NA,"06","California","CA"
"06033001200",1,NA,"06","California","CA"
"06033001300",2,NA,"06","California","CA"
"06035040304",1,NA,"06","California","CA"
"06035040305",1,NA,"06","California","CA"
"06037104201",1,NA,"06","California","CA"
"06037104203",1,NA,"06","California","CA"
"06037104310",1,NA,"06","California","CA"
"06037104320",2,NA,"06","California","CA"
"06037104500",1,NA,"06","California","CA"
"06037104701",1,NA,"06","California","CA"
"06037104703",16,NA,"06","California","CA"
"06037117101",1,NA,"06","California","CA"
"06037119201",1,NA,"06","California","CA"
"06037121010",1,NA,"06","California","CA"
"06037121210",1,NA,"06","California","CA"
"06037121222",2,NA,"06","California","CA"
"06037132900",1,NA,"06","California","CA"
"06037134522",1,NA,"06","California","CA"
"06037183222",2,NA,"06","California","CA"
"06037185320",1,NA,"06","California","CA"
"06037187102",2,NA,"06","California","CA"
"06037195710",1,NA,"06","California","CA"
"06037199000",2,NA,"06","California","CA"
"06037199700",1,NA,"06","California","CA"
"06037201120",1,NA,"06","California","CA"
"06037201402",1,NA,"06","California","CA"
"06037203300",1,1,"06","California","CA"
"06037203500",1,NA,"06","California","CA"
"06037206010",5,NA,"06","California","CA"
"06037206031",7,NA,"06","California","CA"
"06037206032",2,NA,"06","California","CA"
"06037206200",3,NA,"06","California","CA"
"06037206300",2,NA,"06","California","CA"
"06037207102",1,NA,"06","California","CA"
"06037207103",1,NA,"06","California","CA"
"06037207400",1,2,"06","California","CA"
"06037208000",7,NA,"06","California","CA"
"06037208302",2,NA,"06","California","CA"
"06037208904",2,NA,"06","California","CA"
"06037210010",1,NA,"06","California","CA"
"06037211122",2,NA,"06","California","CA"
"06037219700",1,NA,"06","California","CA"
"06037222600",1,NA,"06","California","CA"
"06037226002",2,NA,"06","California","CA"
"06037226420",1,NA,"06","California","CA"
"06037226700",2,NA,"06","California","CA"
"06037229410",3,NA,"06","California","CA"
"06037231300",1,NA,"06","California","CA"
"06037232500",1,NA,"06","California","CA"
"06037234600",1,NA,"06","California","CA"
"06037236100",2,NA,"06","California","CA"
"06037237101",1,NA,"06","California","CA"
"06037237202",2,NA,"06","California","CA"
"06037238000",1,NA,"06","California","CA"
"06037238400",1,NA,"06","California","CA"
"06037239501",1,NA,"06","California","CA"
"06037240500",1,NA,"06","California","CA"
"06037240800",1,NA,"06","California","CA"
"06037241001",1,NA,"06","California","CA"
"06037242000",1,NA,"06","California","CA"
"06037242100",1,NA,"06","California","CA"
"06037242600",1,NA,"06","California","CA"
"06037242700",2,NA,"06","California","CA"
"06037243000",1,NA,"06","California","CA"
"06037273502",1,NA,"06","California","CA"
"06037294200",1,NA,"06","California","CA"
"06037294301",1,NA,"06","California","CA"
"06037294302",2,NA,"06","California","CA"
"06037294410",1,NA,"06","California","CA"
"06037294520",1,NA,"06","California","CA"
"06037294610",2,NA,"06","California","CA"
"06037294620",1,NA,"06","California","CA"
