X,Y,ID,COMPONENT,SITE_NAME,JOINT_BASE,STATE_TERR,BRAC_SITE,STATE_CODE,STATE_NUM,TRACT_ZIP,TRACT_FOLDER,TRACT_FILE
-79.6735372300591,39.4460534074653,"830",Army Guard,CTC Camp Dawson-Kingwood,N/A,West Virginia,NO,WV,"54",tracts/tl_2019_54_tract.zip,tracts/tl_2019_54_tract/,tl_2019_54_tract.shp
-95.5601885512606,33.7990028487757,"831",Army Guard,Camp Maxey,N/A,Texas,NO,TX,"48",tracts/tl_2019_48_tract.zip,tracts/tl_2019_48_tract/,tl_2019_48_tract.shp
-84.7748112840135,44.6322792232514,"832",Army Guard,MTC-H Camp Grayling,N/A,Michigan,NO,MI,"26",tracts/tl_2019_26_tract.zip,tracts/tl_2019_26_tract/,tl_2019_26_tract.shp
-92.2955007239792,31.4375766152093,"833",Army Guard,NG Beauregard Training Range,N/A,Louisiana,NO,LA,"22",tracts/tl_2019_22_tract.zip,tracts/tl_2019_22_tract/,tl_2019_22_tract.shp
-98.6596172267289,47.6862642814469,"834",Army Guard,Camp Grafton,N/A,North Dakota,NO,ND,"38",tracts/tl_2019_38_tract.zip,tracts/tl_2019_38_tract/,tl_2019_38_tract.shp
-88.6803326407438,41.2884273488004,"835",Army Guard,Marseilles (MTA Training Area),N/A,Illinois,NO,IL,"17",tracts/tl_2019_17_tract.zip,tracts/tl_2019_17_tract/,tl_2019_17_tract.shp
-106.503137090879,32.1468160548641,"836",Army Active,Fort Bliss AAA Ranges,N/A,New Mexico,NO,NM,"35",tracts/tl_2019_35_tract.zip,tracts/tl_2019_35_tract/,tl_2019_35_tract.shp
-80.793947343532,32.4646656268366,"837",MC Active,MCAS Beaufort LB Housing,N/A,South Carolina,NO,SC,"45",tracts/tl_2019_45_tract.zip,tracts/tl_2019_45_tract/,tl_2019_45_tract.shp
-80.7144611575597,32.4756631874915,"838",MC Active,MCAS Beaufort,N/A,South Carolina,NO,SC,"45",tracts/tl_2019_45_tract.zip,tracts/tl_2019_45_tract/,tl_2019_45_tract.shp
-81.524914249213,30.4013231895154,"839",MC Active,MCSF Blount Island,N/A,Florida,NO,FL,"12",tracts/tl_2019_12_tract.zip,tracts/tl_2019_12_tract/,tl_2019_12_tract.shp
-76.3493249544502,34.8950143729492,"840",MC Active,OLF Atlantic,N/A,North Carolina,NO,NC,"37",tracts/tl_2019_37_tract.zip,tracts/tl_2019_37_tract/,tl_2019_37_tract.shp
-76.4580795050773,35.0110303662089,"841",MC Active,Point Of Marsh Target,N/A,North Carolina,NO,NC,"37",tracts/tl_2019_37_tract.zip,tracts/tl_2019_37_tract/,tl_2019_37_tract.shp
-76.8903528846225,34.9155877557786,"842",MC Active,MCAS Cherry Point,N/A,North Carolina,NO,NC,"37",tracts/tl_2019_37_tract.zip,tracts/tl_2019_37_tract/,tl_2019_37_tract.shp
-77.028009363269,34.6926954848706,"843",MC Active,ALF Bogue,N/A,North Carolina,NO,NC,"37",tracts/tl_2019_37_tract.zip,tracts/tl_2019_37_tract/,tl_2019_37_tract.shp
-77.2994174469121,34.6370696355961,"844",MC Active,MCB Camp Lejeune,N/A,North Carolina,NO,NC,"37",tracts/tl_2019_37_tract.zip,tracts/tl_2019_37_tract/,tl_2019_37_tract.shp
-77.4992695780504,34.6219466013347,"845",MC Active,MCB Camp Lejeune West Site,N/A,North Carolina,NO,NC,"37",tracts/tl_2019_37_tract.zip,tracts/tl_2019_37_tract/,tl_2019_37_tract.shp
-77.2587199674105,35.0231360170383,"846",MC Active,MCB Camp Lejeune Oak Grove,N/A,North Carolina,NO,NC,"37",tracts/tl_2019_37_tract.zip,tracts/tl_2019_37_tract/,tl_2019_37_tract.shp
-80.6956406092225,32.3374511595917,"847",MC Active,MCRD Beaufort Parris Island,N/A,South Carolina,NO,SC,"45",tracts/tl_2019_45_tract.zip,tracts/tl_2019_45_tract/,tl_2019_45_tract.shp
-116.870237678902,34.8905663735671,"848",MC Active,MCLB Barstow Yermo Area,N/A,California,NO,CA,"06",tracts/tl_2019_06_tract.zip,tracts/tl_2019_06_tract/,tl_2019_06_tract.shp
-116.944967595376,34.8596604654321,"849",MC Active,MCLB Barstow,N/A,California,NO,CA,"06",tracts/tl_2019_06_tract.zip,tracts/tl_2019_06_tract/,tl_2019_06_tract.shp
-119.518292407643,38.5878464324105,"850",MC Active,MWTC Bridgeport,N/A,California,NO,CA,"06",tracts/tl_2019_06_tract.zip,tracts/tl_2019_06_tract/,tl_2019_06_tract.shp
-157.980690179258,21.4000392588802,"851",MC Active,MCB Hawaii Manana Capehart,N/A,Hawaii,NO,HI,"15",tracts/tl_2019_15_tract.zip,tracts/tl_2019_15_tract/,tl_2019_15_tract.shp
-157.971382359016,21.3835304520167,"852",MC Active,MCB Hawaii Pearl City Annex,N/A,Hawaii,NO,HI,"15",tracts/tl_2019_15_tract.zip,tracts/tl_2019_15_tract/,tl_2019_15_tract.shp
-157.987750247479,21.317595818932,"853",MC Active,MCB Hawaii Puuloa-Oahu,N/A,Hawaii,NO,HI,"15",tracts/tl_2019_15_tract.zip,tracts/tl_2019_15_tract/,tl_2019_15_tract.shp
-157.905492147295,21.3866147223771,"854",MC Active,MCB Camp Smith,N/A,Hawaii,NO,HI,"15",tracts/tl_2019_15_tract.zip,tracts/tl_2019_15_tract/,tl_2019_15_tract.shp
-157.717877464823,21.3619204684157,"855",MC Active,MC Trng Area Bellows,N/A,Hawaii,NO,HI,"15",tracts/tl_2019_15_tract.zip,tracts/tl_2019_15_tract/,tl_2019_15_tract.shp
-157.751201212267,21.4452905293354,"856",MC Active,MCB Hawaii Kaneohe,N/A,Hawaii,NO,HI,"15",tracts/tl_2019_15_tract.zip,tracts/tl_2019_15_tract/,tl_2019_15_tract.shp
-117.086021273329,32.8768740157426,"857",MC Active,MCAS Miramar,N/A,California,NO,CA,"06",tracts/tl_2019_06_tract.zip,tracts/tl_2019_06_tract/,tl_2019_06_tract.shp
-117.423212195791,33.3624590535059,"858",MC Active,MCB Camp Pendleton,N/A,California,NO,CA,"06",tracts/tl_2019_06_tract.zip,tracts/tl_2019_06_tract/,tl_2019_06_tract.shp
-117.197686347116,32.7401691032918,"859",MC Active,MCRD San Diego,N/A,California,NO,CA,"06",tracts/tl_2019_06_tract.zip,tracts/tl_2019_06_tract/,tl_2019_06_tract.shp
-117.220992893339,32.729350017127,"860",MC Active,MCRD San Diego Former NTC,N/A,California,NO,CA,"06",tracts/tl_2019_06_tract.zip,tracts/tl_2019_06_tract/,tl_2019_06_tract.shp
-116.138437402233,34.4591371033124,"861",MC Active,Twentynine Palms Main Base,N/A,California,NO,CA,"06",tracts/tl_2019_06_tract.zip,tracts/tl_2019_06_tract/,tl_2019_06_tract.shp
-115.310649972308,33.312644437223,"862",MC Active,Choc Mt Air Gnry Rng,N/A,California,NO,CA,"06",tracts/tl_2019_06_tract.zip,tracts/tl_2019_06_tract/,tl_2019_06_tract.shp
-114.602247979554,32.6444221835872,"863",MC Active,MCAS Yuma,N/A,Arizona,NO,AZ,"04",tracts/tl_2019_04_tract.zip,tracts/tl_2019_04_tract/,tl_2019_04_tract.shp
-114.084480008403,32.4983374325208,"864",MC Active,Barry Goldwater Range,N/A,Arizona,NO,AZ,"04",tracts/tl_2019_04_tract.zip,tracts/tl_2019_04_tract/,tl_2019_04_tract.shp
-114.656187484639,32.7004823965624,"865",MC Active,MCAS Yuma Hsg-Off Base FY81,N/A,Arizona,NO,AZ,"04",tracts/tl_2019_04_tract.zip,tracts/tl_2019_04_tract/,tl_2019_04_tract.shp
-77.0733238038111,38.8689757131306,"866",Army Active,HQBN Henderson Hall Arlington,Joint Base Myer - Henderson Hall,Virginia,NO,VA,"51",tracts/tl_2019_51_tract.zip,tracts/tl_2019_51_tract/,tl_2019_51_tract.shp
